arquivo,tempo_execucao_segundos
3_capacidade.txt,1.0011  
5_capacidade.txt,2.2078  
7_capacidade.txt,1.8423  
13_capacidade.txt,1.6082  
15_capacidade.txt,1.4325  
25_capacidade.txt,1.2357  
29_capacidade.txt,0.5131  
33_capacidade.txt,1.1053  
37_capacidade.txt,0.9991  
57_capacidade.txt,0.8870  
59_capacidade.txt,1.5532  
61_capacidade.txt,0.5361  
63_capacidade.txt,0.0051  
67_capacidade.txt,0.3337  
73_capacidade.txt,0.2812  
77_capacidade.txt,0.0147  
79_capacidade.txt,0.0865  
81_capacidade.txt,0.0522  
83_capacidade.txt,0.0215  
87_capacidade.txt,0.0246  
89_capacidade.txt,0.0092  
91_capacidade.txt,0.0053  
97_capacidade.txt,0.0043  
99_capacidade.txt,0.0031  
10_pacotes.txt,0.0022
15_pacotes.txt,0.0033
35_pacotes.txt,0.0037
40_pacotes.txt,0.0040
45_pacotes.txt,0.0025
50_pacotes.txt,0.0081
55_pacotes.txt,0.0037
60_pacotes.txt,0.0046
65_pacotes.txt,0.0042
70_pacotes.txt,0.0049
75_pacotes.txt,0.0036
80_pacotes.txt,0.0059
95_pacotes.txt,0.0104
100_pacotes.txt,0.0056
120_pacotes.txt,0.0064
140_pacotes.txt,0.0068
150_pacotes.txt,0.0042
155_pacotes.txt,0.0067
15_armazens.txt,0.0049
20_armazens.txt,0.0057
25_armazens.txt,0.0065
30_armazens.txt,0.0023
35_armazens.txt,0.0081
40_armazens.txt,0.0092
45_armazens.txt,0.0113
50_armazens.txt,0.0051
70_armazens.txt,0.0162
75_armazens.txt,0.0179
80_armazens.txt,0.0196
85_armazens.txt,0.0213
90_armazens.txt,0.0230
95_armazens.txt,0.0157
105_armazens.txt,0.0279
110_armazens.txt,0.0296
120_armazens.txt,0.0329
130_armazens.txt,0.0351
140_armazens.txt,0.0932
150_armazens.txt,0.0404
155_armazens.txt,0.0486
